   86     2 root         [watchdogd]                 [watchdogd]
  932     1 root         gs_watchdogd                gs_watchdogd
  963     2 root         [dhd_watchdog_thread]       [dhd_watchdog_thread]
 2602     1 root         sh                          sh /data/local/pixel-stack/vpn/bin/pixel-vpn-service-loop
 4251     1 root         sh                          sh /data/local/pixel-stack/ssh/bin/pixel-ssh-service-loop
 4501     1 root         sh                          sh /data/local/pixel-stack/apps/site-notifications/bin/site-notifier-service-loop
 6257  3374 shell        sh                          sh -c su -c 'ps -A -o PID,PPID,USER,NAME,ARGS 2>/dev/null | grep -E "AdGuardHome|adguardhome|nginx|watchdog|service-loop" || true'
 6265  6257 shell        su                          su -c ps -A -o PID,PPID,USER,NAME,ARGS 2>/dev/null | grep -E "AdGuardHome|adguardhome|nginx|watchdog|service-loop" || true
 6270  6269 root         app_process                 app_process /system/bin com.android.commands.content.Content call --uri content://giilmkonhuutj.ih.wb.provider --user 0 --method log --extra from.uid:i:2000 --extra to.uid:i:0 --extra pid:i:6265 --extra policy:i:2 --extra target:i:-1 --extra context:s: --extra gids:s: --extra command:s:ps -A -o PID,PPID,USER,NAME,ARGS 2>/dev/null | grep -E "AdGuardHome|adguardhome|nginx|watchdog|service-loop" || true --extra notify:b:true
 6271   805 root         sh                          sh -c ps -A -o PID,PPID,USER,NAME,ARGS 2>/dev/null | grep -E "AdGuardHome|adguardhome|nginx|watchdog|service-loop" || true
 6273  6271 root         grep                        grep -E AdGuardHome|adguardhome|nginx|watchdog|service-loop
 7387     1 root         sh                          sh /data/local/pixel-stack/bin/adguardhome-service-loop
 7450  7387 root         bash                        bash /usr/local/bin/adguardhome-start
 7490  7450 root         AdGuardHome                 AdGuardHome --no-check-update -c /opt/adguardhome/conf/AdGuardHome.yaml -w /opt/adguardhome/work
 7687  7450 root         bash                        bash /usr/local/bin/adguardhome-remote-watchdog
10358     1 root         sh                          sh /data/local/pixel-stack/apps/train-bot/bin/train-bot-service-loop
10473     1 root         sh                          sh /data/local/pixel-stack/apps/train-bot/bin/train-bot-service-loop
